2024-07-02 20:07:841 INFO  ManageBrowser :30 - Chrome Browser Launch.....
2024-07-02 20:07:588 INFO  ManageBrowser :30 - Chrome Browser Launch.....
2024-07-02 20:07:625 INFO  ManageBrowser :30 - Chrome Browser Launch.....
2024-07-02 20:07:715 INFO  CustomerLoginPage :18 - click on customer[[ChromeDriver: chrome on windows (d677c20cc0e85ba1b61ad5966c339bf6)] -> xpath: //button[contains(text(),'Customer Login')]]
2024-07-02 20:07:251 INFO  CustomerLoginPage :28 - search customer[[ChromeDriver: chrome on windows (d677c20cc0e85ba1b61ad5966c339bf6)] -> xpath: //select[@id='userSelect']]
2024-07-02 20:07:347 INFO  CustomerLoginPage :38 - click on login [[ChromeDriver: chrome on windows (d677c20cc0e85ba1b61ad5966c339bf6)] -> xpath: //button[contains(text(),'Login')]]
2024-07-02 20:07:844 INFO  AccountPage :34 - click on deoposit[[ChromeDriver: chrome on windows (d677c20cc0e85ba1b61ad5966c339bf6)] -> xpath: //div[@ng-hide='noAccount']//button[2]]
2024-07-02 20:07:389 INFO  AccountPage :40 - click on deoposit[[ChromeDriver: chrome on windows (d677c20cc0e85ba1b61ad5966c339bf6)] -> xpath: //div[@ng-hide='noAccount']//button[2]]
2024-07-02 20:07:496 INFO  AccountPage :46 - click on deoposit[[ChromeDriver: chrome on windows (d677c20cc0e85ba1b61ad5966c339bf6)] -> xpath: //div[@ng-hide='noAccount']//button[2]]
2024-07-02 20:07:535 INFO  AccountPage :84 - verify transaction [[ChromeDriver: chrome on windows (d677c20cc0e85ba1b61ad5966c339bf6)] -> xpath: //span[contains(text(),'Deposit Successful')]]
2024-07-02 20:07:55 INFO  ManageBrowser :30 - Chrome Browser Launch.....
2024-07-02 20:07:884 INFO  ManageBrowser :30 - Chrome Browser Launch.....
2024-07-02 20:07:813 INFO  CustomerLoginPage :18 - click on customer[[ChromeDriver: chrome on windows (ad3face9eb87ceb359ae6e88bb73cb30)] -> xpath: //button[contains(text(),'Customer Login')]]
2024-07-02 20:07:434 INFO  CustomerLoginPage :28 - search customer[[ChromeDriver: chrome on windows (ad3face9eb87ceb359ae6e88bb73cb30)] -> xpath: //select[@id='userSelect']]
2024-07-02 20:07:537 INFO  CustomerLoginPage :38 - click on login [[ChromeDriver: chrome on windows (ad3face9eb87ceb359ae6e88bb73cb30)] -> xpath: //button[contains(text(),'Login')]]
2024-07-02 20:07:571 INFO  CustomerLoginPage :47 - verify logout [[ChromeDriver: chrome on windows (ad3face9eb87ceb359ae6e88bb73cb30)] -> xpath: //button[contains(text(),'Logout')]]
2024-07-02 20:07:128 INFO  CustomerLoginPage :58 - click on logout [[ChromeDriver: chrome on windows (ad3face9eb87ceb359ae6e88bb73cb30)] -> xpath: //button[contains(text(),'Logout')]]
2024-07-02 20:07:186 INFO  CustomerLoginPage :68 - verify name [[ChromeDriver: chrome on windows (ad3face9eb87ceb359ae6e88bb73cb30)] -> xpath: //label[contains(text(),'Your Name :')]]
2024-07-02 21:07:377 INFO  ManageBrowser :30 - Chrome Browser Launch.....
2024-07-02 21:07:375 INFO  ManageBrowser :30 - Chrome Browser Launch.....
2024-07-02 21:07:283 INFO  CustomerLoginPage :18 - click on customer[[ChromeDriver: chrome on windows (88e6d400751469e9499844eaaf04d37e)] -> xpath: //button[contains(text(),'Customer Login')]]
2024-07-02 21:07:827 INFO  CustomerLoginPage :28 - search customer[[ChromeDriver: chrome on windows (88e6d400751469e9499844eaaf04d37e)] -> xpath: //select[@id='userSelect']]
2024-07-02 21:07:934 INFO  CustomerLoginPage :38 - click on login [[ChromeDriver: chrome on windows (88e6d400751469e9499844eaaf04d37e)] -> xpath: //button[contains(text(),'Login')]]
2024-07-02 21:07:976 INFO  CustomerLoginPage :47 - verify logout [[ChromeDriver: chrome on windows (88e6d400751469e9499844eaaf04d37e)] -> xpath: //button[contains(text(),'Logout')]]
2024-07-02 21:07:410 INFO  CustomerLoginPage :58 - click on logout [[ChromeDriver: chrome on windows (88e6d400751469e9499844eaaf04d37e)] -> xpath: //button[contains(text(),'Logout')]]
2024-07-02 21:07:472 INFO  CustomerLoginPage :68 - verify name [[ChromeDriver: chrome on windows (88e6d400751469e9499844eaaf04d37e)] -> xpath: //label[contains(text(),'Your Name :')]]
2024-07-02 21:07:871 INFO  ManageBrowser :30 - Chrome Browser Launch.....
